23,13,42,6,14,7
23,42,14,13,6,7
23,13,6,42,0,7
23,42,13,6,14,7
23,13,6,42,0,7
23,6,42,13,14,7
23,6,13,42,0,7
23,13,6,42,0,7
23,42,13,6,14,7
23,13,42,6,0,7
23,13,42,6,0,7
23,13,42,6,39,7
23,13,42,6,0,7
23,13,42,6,0,7
23,42,13,14,6,7
23,42,13,14,12,7
23,13,6,42,0,7
23,6,42,13,0,7
23,42,13,0,6,7
23,6,0,13,42,11
23,13,42,6,0,11
23,13,6,42,32,11
23,13,42,6,39,11
13,23,42,6,0,11
23,13,42,6,0,11
23,13,6,0,42,11
23,13,42,6,0,11
23,13,6,0,37,11
13,23,0,6,42,11
23,13,42,6,0,11
13,23,42,0,12,11
23,13,0,42,6,11
23,13,42,0,6,11
23,13,42,6,39,11
23,13,42,6,0,11
23,13,42,6,39,11
13,23,42,6,36,11
23,13,6,0,42,11
23,13,42,0,6,1
23,6,13,42,0,1
23,13,6,42,0,1
42,23,13,6,36,1
42,23,13,0,6,1
23,6,13,42,0,1
23,42,13,14,6,1
23,42,13,6,0,1
23,13,42,6,0,1
13,6,23,42,37,1
23,13,0,42,6,1
23,13,42,0,6,1
23,13,42,6,14,1
13,23,42,6,0,1
23,13,6,0,42,1
42,23,6,0,13,1
23,13,6,0,42,1
23,13,6,42,0,1
23,13,6,42,0,1
13,6,23,42,36,13
23,13,42,0,6,13
42,23,6,13,0,13
23,13,42,0,14,13
23,13,42,0,12,13
42,23,6,0,14,13
6,23,42,13,32,13
23,13,6,42,0,13
23,42,13,6,0,13
23,0,42,13,6,13
42,23,6,13,0,13
23,6,13,42,14,13
13,23,42,6,0,13
23,42,13,6,0,13
23,42,6,13,14,13
6,42,23,0,13,13
13,6,23,42,0,13
23,6,13,42,0,13
23,42,6,13,14,13
23,13,42,6,0,24
23,42,0,13,6,24
23,13,6,0,42,24
23,13,6,42,0,24
23,13,6,42,37,24
23,13,42,6,14,24
23,13,42,0,6,24
23,13,42,6,0,24
23,13,6,42,0,24
23,13,42,6,0,24
23,13,42,6,0,24
23,13,6,42,0,24
23,42,13,32,6,24
23,13,6,42,0,24
23,13,6,0,42,24
23,13,6,42,0,24
23,13,42,6,0,24
23,13,6,42,0,24
23,13,0,42,6,24
42,23,0,6,14,23
23,13,6,0,42,23
23,13,6,0,42,23
23,13,42,6,0,23
23,13,42,6,37,23
23,13,42,6,37,23
23,13,42,6,0,23
23,13,42,6,32,23
23,13,6,0,42,23
23,6,13,0,42,23
23,13,42,6,0,23
42,0,23,6,14,23
23,13,42,6,0,23
23,13,42,6,0,23
23,13,6,0,37,23
23,6,13,42,0,23
23,13,6,42,0,23
23,13,42,6,32,23
13,23,42,12,6,23
23,0,42,6,13,35
23,6,42,0,14,35
23,42,6,13,0,35
23,6,13,42,32,35
23,42,6,13,0,35
23,6,0,42,14,35
23,6,42,13,14,35
23,13,42,6,0,35
42,23,6,14,13,35
23,42,13,0,14,35
23,6,42,13,0,35
23,6,42,0,14,35
23,42,13,0,6,35
23,6,42,13,14,35
23,6,13,42,27,35
23,6,13,42,32,35
6,23,42,0,32,35
23,42,6,13,0,35
23,6,14,42,0,35
13,23,42,6,0,0
23,13,42,27,14,0
23,13,42,0,6,0
23,13,42,6,12,0
23,42,0,13,6,0
13,23,42,0,6,0
23,13,42,6,0,0
23,13,42,0,6,0
23,13,6,42,0,0
42,23,13,6,14,0
23,13,6,0,42,0
23,13,42,6,14,0
23,13,42,6,27,0
13,23,42,6,0,0
23,13,42,6,0,0
23,13,42,6,0,0
23,42,13,6,0,0
23,13,42,6,0,0
23,13,6,42,0,0
42,23,0,14,6,28
13,23,42,32,39,28
23,13,42,6,32,28
23,42,6,14,0,28
23,13,6,42,0,28
23,13,42,0,6,28
42,23,6,0,14,28
23,42,13,6,32,28
23,13,6,42,0,28
23,13,42,6,14,28
23,13,6,42,32,28
23,42,6,13,14,28
23,13,42,0,32,28
23,13,6,42,37,28
23,13,42,0,12,28
23,13,6,42,0,28
23,13,6,42,0,28
13,23,42,6,14,28
23,13,42,0,6,28
42,23,0,36,6,34
23,13,6,0,37,34
23,13,14,6,42,34
23,13,42,6,0,34
23,13,6,42,0,34
23,42,6,0,14,34
23,13,42,0,6,34
23,13,42,6,0,34
23,13,42,6,0,34
23,13,42,6,0,34
23,13,42,6,0,34
23,42,6,13,14,34
23,13,42,36,0,34
23,13,0,6,42,34
23,0,6,42,13,34
23,6,42,13,0,34
23,42,6,0,13,34
23,13,6,42,0,34
23,13,6,0,42,34
23,6,13,42,0,9
23,42,13,6,0,9
13,23,42,6,0,9
23,13,42,6,0,9
23,13,42,6,0,9
23,13,42,6,0,9
23,13,42,6,0,9
